2022-05-15 23:05:824 INFO  SigninPage :65 - enter password[[ChromeDriver: chrome on WINDOWS (5b789d0e9e66bd1166f1272842b0812c)] -> xpath: //input[@id='passwd']]
2022-05-15 23:05:55 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-15 23:05:358 INFO  HomePage :60 - Clicking on SignInLink: [[ChromeDriver: chrome on WINDOWS (8a1da82277fbbcc9f9fb42666b2d4b28)] -> xpath: //a[normalize-space()='Sign in']]
2022-05-15 23:05:383 INFO  SigninPage :61 - enter username [[ChromeDriver: chrome on WINDOWS (8a1da82277fbbcc9f9fb42666b2d4b28)] -> xpath: //input[@id='email']]
2022-05-15 23:05:492 INFO  SigninPage :65 - enter password[[ChromeDriver: chrome on WINDOWS (8a1da82277fbbcc9f9fb42666b2d4b28)] -> xpath: //input[@id='passwd']]
2022-05-15 23:05:279 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-15 23:05:471 INFO  HomePage :60 - Clicking on SignInLink: [[ChromeDriver: chrome on WINDOWS (03d74406e80379557d56e81d847e9cf3)] -> xpath: //a[normalize-space()='Sign in']]
2022-05-15 23:05:496 INFO  SigninPage :61 - enter username [[ChromeDriver: chrome on WINDOWS (03d74406e80379557d56e81d847e9cf3)] -> xpath: //input[@id='email']]
2022-05-15 23:05:635 INFO  SigninPage :65 - enter password[[ChromeDriver: chrome on WINDOWS (03d74406e80379557d56e81d847e9cf3)] -> xpath: //input[@id='passwd']]
2022-05-15 23:05:251 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-15 23:05:549 INFO  HomePage :60 - Clicking on SignInLink: [[ChromeDriver: chrome on WINDOWS (c65d361478569682b4da28b7d6834ec5)] -> xpath: //a[normalize-space()='Sign in']]
2022-05-15 23:05:657 INFO  SigninPage :76 - verify Text [[ChromeDriver: chrome on WINDOWS (c65d361478569682b4da28b7d6834ec5)] -> xpath: //h1[normalize-space()='Authentication']]
2022-05-15 23:05:627 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-15 23:05:651 INFO  HomePage :60 - Clicking on SignInLink: [[ChromeDriver: chrome on WINDOWS (bedbfcec12243346cbc1e75e96befe9c)] -> xpath: //a[normalize-space()='Sign in']]
2022-05-15 23:05:671 INFO  SigninPage :61 - enter username [[ChromeDriver: chrome on WINDOWS (bedbfcec12243346cbc1e75e96befe9c)] -> xpath: //input[@id='email']]
2022-05-15 23:05:758 INFO  SigninPage :65 - enter password[[ChromeDriver: chrome on WINDOWS (bedbfcec12243346cbc1e75e96befe9c)] -> xpath: //input[@id='passwd']]
2022-05-15 23:05:811 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-15 23:05:211 INFO  HomePage :60 - Clicking on SignInLink: [[ChromeDriver: chrome on WINDOWS (8dfbff521f9966b87c53a3d1f8287f57)] -> xpath: //a[normalize-space()='Sign in']]
2022-05-15 23:05:242 INFO  SigninPage :61 - enter username [[ChromeDriver: chrome on WINDOWS (8dfbff521f9966b87c53a3d1f8287f57)] -> xpath: //input[@id='email']]
2022-05-15 23:05:361 INFO  SigninPage :65 - enter password[[ChromeDriver: chrome on WINDOWS (8dfbff521f9966b87c53a3d1f8287f57)] -> xpath: //input[@id='passwd']]
2022-05-15 23:05:757 INFO  ManageDriver :30 - Launching Chrome Browser
